MasterID,CollectionDate,SpawnYear,LGDTrapID,BioSamplesID,CollectionLocation,LGDFLmm,LGDWeight,SRR,LGDSpecies,PtagisSpecies,GenSpecies,LGDRun,PtagisRun,GenRun,LGDRear,PtagisRear,GenRear,LGDLifeStage,LGDSex,GenSex,GenStock,GenStockProb,GenParentHatchery,GenBY,GenPBT_ByHat,GenPBT_RGroup,GenComments,LGDFishComments,BioScaleFinalAge,PtagisEventSites,PtagisLastEventSite,PtagisLastEventDate,PtagisEventLastSpawnSite,RepeatSpawner,BiosamplesValid,LGDValid,LGDInjuryiesAll,LGDMarksAll,LGDMarkAD,LGDTagsAll,LGDNumPIT,LGDNumRT,LGDNumJaw,LGDOpComments,PTAgisSxCGRAObs,OpTrapSampleRate,OpWaterTemp,CreatedDate,CreatedUser,Editdate,EditUser,LGDNumFloy,Date,SppCode,Species,week_num
423745,2019-05-23T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001609,NA,Lower Granite Dam ->,730,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,51.3,2019-05-23T21:00:05Z,IDFG\pbunn,2019-05-23T21:00:05Z,IDFG\pbunn,NA,2019-05-23T00:00:00Z,1,Chinook,12
423615,2019-05-23T00:00:00Z,SY2019,LGR2A-LGR-11W-2019-000477,19-10319,Lower Granite Dam ->,710,NA,15W,1,1,1,5,1,5,W,W,U,RF,NI,M,HELLSC,0.999,NA,NA,Unassigned-W,Unassigned-W,NA,NA,1:2,GRA(O),GRA,2019-05-23T15:27:50Z,NA,NA,TRUE,1,G,UM,AI,Pit,3DD.00775FF083,NA,NA,NA,NA,0.28,51.3,2019-05-23T21:00:05Z,IDFG\pbunn,2019-05-28T13:45:39Z,IDFG\pbunn,NA,2019-05-23T00:00:00Z,1,Chinook,12
423770,2019-05-23T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001670,NA,Lower Granite Dam ->,720,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,51.3,2019-05-23T21:00:05Z,IDFG\pbunn,2019-05-23T21:00:05Z,IDFG\pbunn,NA,2019-05-23T00:00:00Z,1,Chinook,12
423797,2019-05-23T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001583,NA,Lower Granite Dam ->,700,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,CD,AD,AD,NA,NA,NA,NA,NA,NA,0.28,51.3,2019-05-23T21:00:05Z,IDFG\pbunn,2019-05-23T21:00:05Z,IDFG\pbunn,NA,2019-05-23T00:00:00Z,1,Chinook,12
423840,2019-05-23T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001766,NA,Lower Granite Dam ->,640,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,51.3,2019-05-23T21:00:05Z,IDFG\pbunn,2019-05-23T21:00:05Z,IDFG\pbunn,NA,2019-05-23T00:00:00Z,1,Chinook,12
423870,2019-05-23T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001772,NA,Lower Granite Dam ->,670,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,G,AD,AD,Wire,NA,NA,NA,NA,NA,0.28,51.3,2019-05-23T21:00:05Z,IDFG\pbunn,2019-05-23T21:00:05Z,IDFG\pbunn,NA,2019-05-23T00:00:00Z,1,Chinook,12
425003,2019-05-31T00:00:00Z,SY2019,LGR2A-LGR-11W-2019-000680,19-10516,Lower Granite Dam ->,670,NA,15W,1,1,1,5,1,5,W,W,U,RF,NI,F,HELLSC,0.966,NA,NA,Unassigned-W,Unassigned-W,NA,NA,1:2,"GRA(O),WEN(O)",WEN,2019-06-07T21:39:25Z,WEN,NA,TRUE,1,NA,UM,AI,Pit,3DD.00775F789B,NA,NA,NA,NA,0.28,55.6,2019-05-31T21:00:04Z,IDFG\pbunn,2019-07-13T08:00:47Z,IDFG\pbunn,NA,2019-05-31T00:00:00Z,1,Chinook,13
425304,2019-06-04T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-002900,NA,Lower Granite Dam ->,800,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,Wire,NA,NA,NA,NA,NA,0.28,56.7,2019-06-04T21:00:05Z,IDFG\pbunn,2019-06-04T21:00:05Z,IDFG\pbunn,NA,2019-06-04T00:00:00Z,1,Chinook,14
425322,2019-06-04T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-002964,NA,Lower Granite Dam ->,720,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,Wire,NA,NA,NA,NA,NA,0.28,56.7,2019-06-04T21:00:05Z,IDFG\pbunn,2019-06-04T21:00:05Z,IDFG\pbunn,NA,2019-06-04T00:00:00Z,1,Chinook,14
425357,2019-06-04T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-002978,NA,Lower Granite Dam ->,500,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,Wire,NA,NA,NA,NA,NA,0.28,56.7,2019-06-04T21:00:05Z,IDFG\pbunn,2019-06-04T21:00:05Z,IDFG\pbunn,NA,2019-06-04T00:00:00Z,1,Chinook,14
426454,2019-06-13T00:00:00Z,SY2019,LGR2A-LGR-11H-2019-001125,19-10930,Lower Granite Dam ->,780,NA,15H,1,1,1,5,1,5,H,H,H,RF,NI,F,MFSALM,0.398,NA,NA,2015-MCCA-SFSAL-INT,2015-MCCA-SFSAL-SFSalmonR-IntSmolt,NA,NA,NA,"GRA(O),KRS(O)",KRS,2019-06-29T23:00:32Z,KRS,NA,FALSE,1,S,UM,AI,"Pit, Wire",3DD.00775FD113,NA,NA,NA,NA,0.28,57.6,2019-06-13T21:00:04Z,IDFG\pbunn,2019-07-13T08:00:47Z,IDFG\pbunn,NA,2019-06-13T00:00:00Z,1,Chinook,15
425009,2019-06-03T00:00:00Z,SY2019,LGR2A-LGR-11W-2019-000731,19-10560,Lower Granite Dam ->,490,NA,15H,1,1,1,5,1,5,W,W,H,RF,NI,M,MFSALM,0.538,NA,NA,2016-MCCA-SFSAL-INT,2016-MCCA-SFSAL-SFSalmonR-IntSmolt,NA,NA,2:1,"GRA(O),KRS(O),SALSFW(M)",SALSFW,2019-07-05T10:00:00Z,SALSFW,NA,TRUE,1,S,UM,AI,Pit,3DD.00775F2C9E,NA,NA,NA,NA,0.28,56.2,2019-06-03T21:00:04Z,IDFG\pbunn,2019-07-13T08:00:47Z,IDFG\pbunn,NA,2019-06-03T00:00:00Z,1,Chinook,14
423698,2019-05-23T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001728,NA,Lower Granite Dam ->,680,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,51.3,2019-05-23T21:00:05Z,IDFG\pbunn,2019-05-23T21:00:05Z,IDFG\pbunn,NA,2019-05-23T00:00:00Z,1,Chinook,12
423703,2019-05-23T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001795,NA,Lower Granite Dam ->,710,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,51.3,2019-05-23T21:00:05Z,IDFG\pbunn,2019-05-23T21:00:05Z,IDFG\pbunn,NA,2019-05-23T00:00:00Z,1,Chinook,12
423728,2019-05-23T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001604,NA,Lower Granite Dam ->,670,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,G,AD,AD,NA,NA,NA,NA,NA,NA,0.28,51.3,2019-05-23T21:00:05Z,IDFG\pbunn,2019-05-23T21:00:05Z,IDFG\pbunn,NA,2019-05-23T00:00:00Z,1,Chinook,12
423757,2019-05-23T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001581,NA,Lower Granite Dam ->,760,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,51.3,2019-05-23T21:00:05Z,IDFG\pbunn,2019-05-23T21:00:05Z,IDFG\pbunn,NA,2019-05-23T00:00:00Z,1,Chinook,12
425849,2019-06-07T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-003386,19-17642,Lower Granite Dam ->,490,NA,15H,1,NA,1,5,NA,5,H,NA,H,RF,NI,M,NA,NA,NA,NA,2016-CLWH-KOOS,2016-CLWH-KOOS-NFClearwaterR-AD,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,CD,AD,AD,Wire,NA,NA,NA,NA,NA,0.28,57.6,2019-06-07T21:00:04Z,IDFG\pbunn,2019-07-28T17:28:17Z,IDFG\pbunn,NA,2019-06-07T00:00:00Z,1,Chinook,14
423926,2019-05-24T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001906,NA,Lower Granite Dam ->,850,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,51.7,2019-05-24T21:00:04Z,IDFG\pbunn,2019-05-24T21:00:04Z,IDFG\pbunn,NA,2019-05-24T00:00:00Z,1,Chinook,12
423961,2019-05-24T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001962,NA,Lower Granite Dam ->,700,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,G,AD,AD,NA,NA,NA,NA,NA,NA,0.28,51.7,2019-05-24T21:00:04Z,IDFG\pbunn,2019-05-24T21:00:04Z,IDFG\pbunn,NA,2019-05-24T00:00:00Z,1,Chinook,12
425115,2019-06-03T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-002853,19-17381,Lower Granite Dam ->,730,NA,15H,1,NA,1,5,NA,5,H,NA,H,RF,NI,F,NA,NA,NA,NA,2015-RAPH-RAPH,2015-RAPH-RAPH-RapidR,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,S,AD,AD,NA,NA,NA,NA,NA,NA,0.28,56.2,2019-06-03T21:00:04Z,IDFG\pbunn,2019-07-28T17:28:17Z,IDFG\pbunn,NA,2019-06-03T00:00:00Z,1,Chinook,14
425413,2019-06-05T00:00:00Z,SY2019,LGR2A-LGR-11W-2019-000814,19-10638,Lower Granite Dam ->,780,NA,15H,1,1,1,5,1,5,W,W,H,RF,NI,M,SFSALM,0.801,NA,NA,2015-MCCA-SFSAL-INT,2015-MCCA-SFSAL-SFSalmonR-IntSmolt,NA,NA,1:2,"GRA(O),KRS(O)",KRS,2019-06-27T01:09:09Z,KRS,NA,TRUE,1,NA,UM,AI,Pit,3DD.00775F52DD,NA,NA,NA,NA,0.28,57.1,2019-06-05T21:00:04Z,IDFG\pbunn,2019-07-13T08:00:47Z,IDFG\pbunn,NA,2019-06-05T00:00:00Z,1,Chinook,14
423150,2019-05-17T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001040,19-16452,Lower Granite Dam ->,720,NA,15H,1,NA,1,5,NA,5,H,NA,H,RF,NI,M,NA,NA,NA,NA,2015-RAPH-RAPH,2015-RAPH-RAPH-RapidR,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,G,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52,2019-05-17T21:00:04Z,IDFG\pbunn,2019-05-22T12:20:40Z,IDFG\pbunn,NA,2019-05-17T00:00:00Z,1,Chinook,11
423710,2019-05-23T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001799,NA,Lower Granite Dam ->,680,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,51.3,2019-05-23T21:00:05Z,IDFG\pbunn,2019-05-23T21:00:05Z,IDFG\pbunn,NA,2019-05-23T00:00:00Z,1,Chinook,12
